strategy,strategy_name,batch_size,run_id,inference_latency_ms,memory_usage_mb,cache_hit_rate,prefetch_accuracy,total_experts_loaded,cache_misses
A,OnDemand,1,0,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,1,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,2,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,3,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,4,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,5,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,6,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,7,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,8,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,1,9,2281.4719999999875,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,0,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,1,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,2,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,3,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,4,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,5,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,6,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,7,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,8,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,2,9,4562.943999999975,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,0,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,1,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,2,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,3,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,4,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,5,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,6,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,7,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,8,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,4,9,9125.88799999995,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,0,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,1,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,2,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,3,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,4,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,5,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,6,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,7,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,8,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,8,9,18251.7759999999,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,0,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,1,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,2,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,3,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,4,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,5,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,6,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,7,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,8,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
A,OnDemand,16,9,36503.5519999998,28.0,0.0003255208333333333,0.0,6142,6142
B,Oracle,1,0,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,1,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,2,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,3,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,4,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,5,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,6,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,7,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,8,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,1,9,143.93900000000113,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,0,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,1,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,2,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,3,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,4,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,5,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,6,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,7,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,8,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,2,9,287.87800000000226,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,0,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,1,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,2,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,3,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,4,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,5,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,6,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,7,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,8,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,4,9,575.7560000000045,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,0,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,1,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,2,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,3,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,4,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,5,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,6,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,7,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,8,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,8,9,1151.512000000009,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,0,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,1,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
