strategy,strategy_name,batch_size,inference_latency_ms_mean,inference_latency_ms_std,inference_latency_ms_min,inference_latency_ms_max,memory_usage_mb_mean,memory_usage_mb_std,cache_hit_rate_mean,cache_hit_rate_std,prefetch_accuracy_mean,prefetch_accuracy_std,total_experts_loaded_mean,total_experts_loaded_std,cache_misses_mean,cache_misses_std
A,OnDemand,1,2281.472,0.0,2281.472,2281.472,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,OnDemand,2,4562.944,0.0,4562.944,4562.944,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,OnDemand,4,9125.888,0.0,9125.888,9125.888,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,OnDemand,8,18251.776,0.0,18251.776,18251.776,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,OnDemand,16,36503.552,0.0,36503.552,36503.552,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
B,Oracle,1,143.939,0.0,143.939,143.939,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,2,287.878,0.0,287.878,287.878,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,4,575.756,0.0,575.756,575.756,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,8,1151.512,0.0,1151.512,1151.512,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,16,2303.024,0.0,2303.024,2303.024,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
C,MultiLook,1,215.105,11.231,192.412,236.413,3584.0,0.0,0.99,0.001,0.0,0.0,187.9,7.4,63.6,8.03
C,MultiLook,2,415.496,17.103,391.088,451.518,3584.0,0.0,0.991,0.001,0.0,0.0,182.6,6.381,58.3,6.255
C,MultiLook,4,873.023,62.065,778.856,956.224,3584.0,0.0,0.99,0.002,0.0,0.0,186.5,9.778,61.9,9.597
C,MultiLook,8,1667.904,80.178,1534.424,1777.968,3584.0,0.0,0.991,0.001,0.0,0.0,183.2,7.193,58.2,7.099
C,MultiLook,16,3496.118,222.727,3070.992,3754.128,3584.0,0.0,0.989,0.002,0.0,0.0,189.6,10.793,65.4,10.606
D,TopK,1,205.686,11.222,190.074,225.752,3584.0,0.0,0.994,0.001,0.0,0.0,158.7,6.961,36.6,6.204
D,TopK,2,408.409,32.462,378.19,491.148,3584.0,0.0,0.994,0.001,0.0,0.0,158.6,8.329,36.0,8.327
D,TopK,4,827.228,50.364,727.932,899.08,3584.0,0.0,0.994,0.001,0.0,0.0,158.4,7.26,37.2,7.465
D,TopK,8,1616.845,114.324,1386.464,1744.912,3584.0,0.0,0.994,0.001,0.0,0.0,157.9,6.35,36.8,6.303
D,TopK,16,3305.474,270.034,2782.384,3673.792,3584.0,0.0,0.995,0.001,0.0,0.0,154.8,5.371,33.3,6.019
E,Intelligent,1,174.615,8.831,161.057,185.845,3584.0,0.0,0.994,0.001,0.0,0.0,152.0,4.472,34.7,3.592
E,Intelligent,2,350.864,27.982,311.768,393.332,3584.0,0.0,0.994,0.001,0.0,0.0,154.5,6.671,35.3,7.987
E,Intelligent,4,736.92,26.685,695.544,779.7,3584.0,0.0,0.994,0.001,0.0,0.0,156.0,3.742,39.2,3.645
E,Intelligent,8,1450.857,75.402,1312.12,1586.224,3584.0,0.0,0.994,0.001,0.0,0.0,154.6,5.168,37.5,6.77
E,Intelligent,16,2845.046,201.079,2643.728,3343.552,3584.0,0.0,0.994,0.001,0.0,0.0,153.8,6.957,35.9,6.935
