strategy,strategy_display_name,category,batch_size,replication,total_latency,l1_hit_rate,l2_hit_rate,l3_hit_rate,overall_hit_rate,miss_rate,average_cache_latency,total_accesses,deduplication_efficiency
on_demand,On-Demand,Baseline,1,0,4715.5999999999985,0.09333333333333334,0.07333333333333333,0.065,0.2316666666666667,0.7683333333333333,7.859333333333334,600,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,1,0,4714.400000000001,0.09833333333333333,0.06833333333333333,0.065,0.2316666666666667,0.7683333333333333,7.857333333333333,600,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,1,0,5333.500000000004,0.06666666666666667,0.025,0.02666666666666667,0.11833333333333329,0.8816666666666667,8.889166666666666,600,0.0
topk_ours,Top-K (Ours),Our Contribution,1,0,4929.500000000004,0.075,0.06333333333333334,0.055,0.19333333333333336,0.8066666666666666,8.215833333333334,600,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,1,0,4967.500000000002,0.08333333333333333,0.055,0.04666666666666667,0.18500000000000005,0.815,8.279166666666667,600,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,1,0,4939.000000000003,0.075,0.06166666666666667,0.055,0.19166666666666665,0.8083333333333333,8.231666666666667,600,0.0
on_demand,On-Demand,Baseline,1,1,5190.400000000002,0.065,0.035,0.04666666666666667,0.1466666666666666,0.8533333333333334,8.650666666666666,600,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,1,1,5107.400000000002,0.08166666666666667,0.035,0.043333333333333335,0.16000000000000003,0.84,8.512333333333332,600,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,1,1,5588.500000000001,0.041666666666666664,0.013333333333333334,0.018333333333333333,0.07333333333333336,0.9266666666666666,9.314166666666667,600,0.0
topk_ours,Top-K (Ours),Our Contribution,1,1,4991.5,0.075,0.056666666666666664,0.05,0.18166666666666664,0.8183333333333334,8.319166666666666,600,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,1,1,5233.400000000002,0.065,0.03166666666666667,0.041666666666666664,0.1383333333333333,0.8616666666666667,8.722333333333333,600,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,1,1,4733.199999999998,0.095,0.07833333333333334,0.05333333333333334,0.22666666666666668,0.7733333333333333,7.8886666666666665,600,0.0
