,,,memory_savings_percent,memory_savings_percent,bandwidth_savings_percent,bandwidth_savings_percent,reuse_factor,reuse_factor,unique_requests,total_requests
,,,mean,std,mean,std,mean,std,mean,mean
batch_size,experts_per_item,locality_factor,,,,,,,,
1,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1,2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1,4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1,4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
1,8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
1,8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
1,8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
1,16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
1,16,0.3,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
1,16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
1,16,0.7,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
2,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2,2,0.7,5.0,11.18,5.0,11.18,0.05,0.11,3.8,4.0
2,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
2,4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
2,4,0.5,5.0,6.85,5.0,6.85,0.05,0.07,7.6,8.0
2,4,0.7,7.5,11.18,7.5,11.18,0.08,0.11,7.4,8.0
2,8,0.1,1.25,2.8,1.25,2.8,0.01,0.03,15.8,16.0
2,8,0.3,3.75,3.42,3.75,3.42,0.04,0.03,15.4,16.0
2,8,0.5,8.75,7.13,8.75,7.13,0.09,0.07,14.6,16.0
